,Market Cap,Income,Sales,Dividend,Dividend %,Employees,P/B,P/E,Forward P/E,PEG,Debt/Eq,EPS (ttm),EPS next Y,EPS next Q,EPS this Y,EPS next 5Y,EPS past 5Y,ROE,ROI,EPS Q/Q,Insider Own,Insider Trans,Inst Own
QCOM,145.07B,2.74B,20.00B,2.60,2.02%,37000,44.04,54.56,19.97,1.87,4.82,2.37,6.46,1.17,216.30%,29.15%,-4.00%,69.60%,21.30%,-57.50%,0.12%,-18.61%,77.50%
DGX,15.87B,749.00M,7.53B,2.24,1.86%,47000,2.76,21.85,13.35,1.87,0.78,5.50,9.01,3.73,18.70%,11.70%,10.20%,13.20%,9.40%,-10.70%,0.40%,-26.97%,91.90%
RL,5.53B,14.20M,5.22B,-,-,13700,2.14,-,12.70,-,0.83,-0.08,5.89,0.83,-40.20%,2.75%,-15.70%,4.90%,6.10%,-219.20%,3.20%,0.00%,-
RJF,10.89B,872.00M,8.13B,1.48,1.86%,14200,1.57,12.89,13.50,-,4.11,6.18,5.91,1.34,11.00%,-3.87%,16.60%,12.80%,3.30%,-31.30%,0.10%,-20.58%,75.20%
RTX,92.41B,-1115.00M,64.47B,1.90,3.08%,243200,1.38,151.35,16.29,-,0.49,0.41,3.79,0.50,-13.70%,-13.50%,-0.70%,-3.40%,7.50%,-286.90%,0.10%,0.03%,76.30%
O,20.84B,485.00M,1.60B,2.81,4.64%,194,2.01,41.52,41.32,7.62,0.76,1.46,1.47,0.35,10.10%,5.45%,6.10%,4.90%,2.30%,2.60%,0.10%,0.00%,76.10%
REG,6.54B,91.00M,1.09B,2.38,6.34%,450,1.04,69.39,32.25,7.63,0.70,0.54,1.16,0.21,-2.60%,9.10%,-4.50%,1.50%,3.00%,-63.60%,0.60%,-2.50%,-
REGN,62.26B,2.98B,8.00B,-,-,8100,7.26,23.22,17.06,1.97,0.24,25.83,35.15,7.04,-10.80%,11.77%,44.00%,27.90%,16.10%,351.70%,0.90%,-44.94%,90.00%
RF,12.04B,653.00M,4.41B,0.62,4.97%,19564,0.75,18.75,9.83,-,0.38,0.67,1.27,0.33,13.00%,-,14.00%,4.20%,14.70%,-166.80%,0.10%,1.58%,76.60%
RSG,29.75B,1.06B,10.23B,1.70,1.82%,36000,3.63,28.30,26.59,3.98,1.05,3.31,3.52,0.81,5.50%,7.11%,16.90%,13.10%,9.30%,-9.40%,0.10%,-40.33%,93.50%
RMD,26.02B,621.70M,2.96B,1.56,0.86%,7770,10.50,42.36,34.17,2.01,0.47,4.27,5.29,0.99,50.20%,21.10%,11.50%,27.20%,18.60%,156.30%,0.50%,-9.28%,72.10%
RHI,6.51B,366.10M,5.70B,1.36,2.40%,16000,5.53,17.75,19.12,6.57,0.00,3.19,2.96,0.58,8.10%,2.70%,11.60%,32.20%,39.30%,-58.30%,0.30%,-1.03%,97.50%
ROK,28.70B,768.20M,6.49B,4.08,1.64%,23000,37.39,37.77,31.19,17.29,3.11,6.59,7.98,1.75,-31.10%,2.18%,-0.30%,122.30%,26.10%,23.90%,0.20%,-26.36%,80.00%
ROL,19.49B,212.60M,2.10B,0.32,0.54%,15000,22.73,92.10,70.57,11.23,0.30,0.65,0.85,0.24,-13.10%,8.20%,8.10%,26.00%,18.90%,17.10%,49.90%,0.00%,42.10%
ROP,45.07B,1.61B,5.41B,2.05,0.47%,16460,4.59,28.37,30.61,28.37,0.59,15.29,14.18,3.04,88.80%,1.00%,21.30%,17.10%,13.30%,-12.50%,0.50%,-13.34%,95.90%
ROST,34.24B,543.30M,12.79B,-,-,92500,11.69,63.29,22.06,19.47,1.08,1.50,4.31,0.60,8.00%,3.25%,15.80%,17.60%,44.70%,-94.50%,0.40%,0.00%,89.40%
RCL,12.75B,-1927.40M,7.91B,3.12,5.30%,85300,1.37,-,-,-,2.10,-9.23,-9.67,-5.16,4.50%,-,21.20%,-17.80%,9.10%,-447.80%,8.60%,-17.59%,62.70%
SPGI,83.73B,2.59B,7.15B,2.68,0.77%,22500,400.20,32.82,29.90,3.32,0.00,10.61,11.65,2.58,11.20%,9.89%,58.40%,-,56.20%,45.90%,0.10%,-18.39%,85.40%
CRM,234.53B,373.00M,19.38B,-,-,49000,6.08,662.95,68.65,39.64,0.00,0.39,3.77,0.75,-89.60%,16.72%,18.80%,6.80%,-0.70%,492.20%,3.40%,-6.82%,84.00%
SBAC,34.76B,-15.20M,2.05B,1.86,0.60%,1475,-,-,109.94,-,-,-0.16,2.82,0.46,260.60%,44.33%,54.50%,0.40%,8.10%,-27.80%,0.50%,-28.95%,97.50%
SLB,22.79B,-21860.00M,29.58B,0.50,3.34%,105000,1.73,-,21.73,-,1.44,-15.77,0.69,0.14,-576.90%,-7.83%,-29.90%,-95.30%,-24.50%,-801.50%,0.10%,-2.83%,75.50%
STX,13.17B,1.00B,10.51B,2.60,5.05%,42000,7.46,13.57,9.79,1.73,2.34,3.79,5.25,0.88,-46.30%,7.85%,-6.40%,55.90%,21.30%,-82.20%,0.20%,-28.40%,88.10%
SEE,6.53B,388.90M,4.84B,0.64,1.54%,16500,-,16.60,13.52,2.57,-,2.51,3.08,0.66,-34.10%,6.45%,5.10%,-211.90%,11.90%,201.50%,0.20%,-22.77%,94.30%
SRE,37.18B,2.08B,11.20B,4.18,3.26%,13969,1.84,18.51,15.97,2.95,1.27,6.92,8.02,1.58,120.00%,6.27%,5.30%,23.50%,5.50%,59.10%,0.06%,-1.04%,89.10%
NOW,99.87B,728.30M,3.95B,-,-,11901,40.50,143.33,95.57,5.17,0.00,3.66,5.49,1.03,33.10%,27.71%,35.50%,35.10%,21.30%,441.00%,0.10%,-71.70%,93.50%
SHW,62.64B,1.74B,17.73B,5.36,0.77%,61111,16.25,37.05,27.06,3.90,2.29,18.77,25.69,7.75,42.40%,9.51%,13.50%,45.50%,11.80%,28.70%,0.20%,-30.30%,79.60%
SPG,19.92B,1.75B,5.32B,5.20,8.02%,3000,9.97,11.39,14.32,1.32,13.72,5.69,4.53,0.90,-13.40%,8.60%,9.00%,75.60%,10.50%,-48.20%,0.10%,0.33%,91.40%
SWKS,25.62B,786.60M,3.23B,2.00,1.31%,9000,6.12,33.32,21.98,2.63,0.00,4.60,6.97,1.52,-22.10%,12.65%,15.80%,18.60%,20.70%,-7.30%,0.30%,-17.73%,80.20%
SLG,3.47B,221.80M,1.19B,3.54,7.48%,1033,0.73,16.73,-,-,1.28,2.83,-0.89,-0.22,16.20%,-10.84%,-1.80%,4.30%,3.80%,-61.70%,0.46%,-23.03%,-
SNA,8.60B,573.60M,3.77B,4.32,2.71%,12800,2.48,15.36,14.91,1.54,0.42,10.37,10.68,2.16,4.00%,10.00%,11.70%,17.00%,16.40%,-42.70%,1.00%,-9.57%,99.40%
SO,61.28B,3.24B,20.55B,2.56,4.39%,27943,2.23,19.14,17.58,4.21,1.73,3.05,3.32,1.23,109.90%,4.55%,15.60%,11.70%,8.00%,-32.60%,0.14%,-4.95%,59.40%
LUV,22.89B,132.00M,16.61B,-,-,61118,2.05,116.36,48.33,-,0.88,0.34,0.82,-2.35,-2.00%,-13.81%,20.80%,1.60%,18.20%,-218.90%,0.10%,-3.69%,74.60%
SWK,28.21B,801.20M,13.62B,2.80,1.59%,59438,3.20,33.35,19.43,4.89,0.63,5.29,9.08,2.68,19.60%,6.83%,3.40%,10.30%,11.10%,-34.70%,0.10%,-37.59%,91.20%
SBUX,103.84B,1.34B,24.06B,1.80,2.03%,346000,-,79.96,32.68,29.53,-,1.11,2.71,0.31,-13.00%,2.71%,16.60%,-18.40%,77.60%,-151.70%,0.10%,-12.84%,70.80%
STT,23.59B,2.26B,3.45B,2.08,3.12%,39068,1.05,10.66,10.41,3.42,0.00,6.25,6.40,1.52,-14.70%,3.12%,3.50%,9.90%,5.80%,31.30%,0.20%,-0.88%,94.20%
STE,15.93B,411.20M,3.00B,1.60,0.85%,13000,4.62,39.35,28.94,3.94,0.30,4.80,6.53,1.27,33.80%,10.00%,16.20%,12.20%,9.80%,4.10%,0.30%,-50.15%,93.60%
SYK,83.46B,1.60B,14.07B,2.30,1.03%,40000,6.60,53.22,25.05,6.77,1.01,4.21,8.95,1.41,4.60%,7.86%,32.40%,12.60%,9.30%,-117.50%,0.10%,-34.63%,74.20%
SIVB,14.15B,891.30M,2.26B,-,-,3984,2.02,15.90,18.25,2.00,0.12,17.18,14.97,5.14,20.00%,7.95%,32.50%,13.90%,24.20%,-27.30%,0.30%,-22.89%,94.20%
SYF,16.99B,2.10B,17.80B,0.88,3.00%,16500,1.54,9.02,9.54,-,1.44,3.26,3.08,0.72,48.90%,-14.90%,14.90%,16.20%,33.50%,-94.90%,0.30%,0.96%,-
SNPS,34.61B,627.60M,3.51B,-,-,13896,7.46,56.02,36.75,3.61,0.03,4.04,6.16,1.58,-3.10%,15.50%,16.00%,14.70%,12.00%,150.90%,0.30%,-50.00%,91.80%
SYY,33.86B,215.50M,52.89B,1.80,2.74%,57000,28.85,166.53,22.01,7.54,12.47,0.40,2.99,0.25,-87.00%,22.08%,-18.30%,10.50%,3.90%,-217.50%,0.10%,271.27%,82.60%
TMUS,142.72B,2.36B,51.72B,-,-,53000,2.26,40.98,61.91,-,1.24,2.81,1.86,0.44,19.40%,-1.40%,67.70%,7.20%,7.90%,-115.60%,0.30%,2.07%,40.70%
TROW,33.34B,1.98B,5.77B,3.60,2.45%,7365,4.95,17.44,15.08,1.77,0.00,8.43,9.75,2.42,17.90%,9.84%,13.90%,29.20%,24.10%,18.90%,0.80%,-8.42%,71.00%
TTWO,19.21B,446.70M,3.38B,-,-,5800,7.23,43.10,30.10,2.93,0.00,3.90,5.59,1.47,24.00%,14.72%,24.70%,18.30%,14.60%,89.20%,0.30%,-34.57%,96.80%
TPR,5.42B,-652.10M,4.96B,-,-,9200,2.37,-,8.86,-,1.01,-2.37,2.20,0.19,-207.70%,7.00%,-29.30%,-23.20%,-12.60%,-397.90%,0.40%,2.67%,91.30%
TGT,82.83B,3.51B,84.65B,2.72,1.65%,368000,6.56,23.87,21.46,3.18,1.14,6.91,7.69,1.52,16.80%,7.51%,10.40%,29.90%,16.00%,84.30%,0.20%,-28.92%,84.10%
TEL,35.36B,-111.00M,12.21B,1.92,1.78%,78000,3.94,-,21.58,-,0.45,-0.35,4.99,0.86,-35.90%,11.00%,8.10%,-1.00%,13.70%,-107.90%,0.10%,-26.27%,94.80%
FTI,3.18B,-5777.50M,13.35B,0.13,1.89%,37000,0.74,-,9.58,-,1.09,-12.93,0.72,0.22,-29.30%,1.80%,-,-89.10%,-14.90%,-87.90%,0.70%,0.00%,83.80%
TDY,12.08B,398.30M,3.16B,-,-,11790,4.25,31.58,29.82,1.09,0.30,10.55,11.18,2.36,19.20%,29.10%,13.30%,14.60%,11.80%,-11.40%,1.10%,-18.76%,89.30%
TFX,16.83B,479.30M,2.53B,1.36,0.37%,14400,5.48,35.98,27.41,2.77,0.78,10.16,13.33,2.24,133.70%,13.00%,19.10%,16.00%,11.10%,-86.30%,0.10%,-7.05%,93.80%
TER,14.49B,626.00M,2.78B,0.40,0.46%,5400,8.23,24.98,21.17,1.50,0.23,3.47,4.09,1.12,24.70%,16.66%,48.10%,40.00%,26.40%,92.20%,0.60%,-15.18%,98.60%
TXN,139.73B,5.02B,13.69B,4.08,2.66%,29768,18.36,28.72,27.99,2.87,0.89,5.33,5.47,1.28,-5.60%,10.00%,15.30%,60.40%,34.10%,8.80%,0.24%,-12.12%,86.20%
TXT,8.29B,377.00M,12.54B,0.08,0.22%,35000,1.50,22.21,14.29,-,0.86,1.63,2.54,0.36,-26.60%,-4.78%,10.30%,6.80%,9.40%,-143.40%,0.40%,-24.55%,86.70%
TMO,183.78B,3.73B,26.25B,0.88,0.19%,75000,6.20,50.33,26.71,3.77,0.71,9.31,17.54,4.31,22.10%,13.36%,14.30%,12.60%,8.50%,4.60%,0.10%,-49.85%,91.50%
TIF,14.77B,246.90M,3.68B,2.32,1.89%,14100,4.66,60.63,29.84,-,0.46,2.02,4.11,0.58,-3.70%,-0.83%,3.60%,7.70%,13.40%,-76.70%,0.30%,0.00%,90.90%
TJX,68.84B,711.30M,33.73B,-,-,286000,14.56,100.27,22.37,47.75,1.33,0.57,2.53,0.39,9.80%,2.10%,11.10%,13.60%,40.20%,-128.90%,0.10%,-8.64%,93.00%
TSCO,17.68B,688.80M,9.31B,1.60,1.05%,16000,10.46,26.22,24.43,1.56,0.56,5.84,6.27,1.35,8.00%,16.85%,11.90%,45.10%,29.10%,60.70%,0.30%,-59.54%,88.90%
TT,31.27B,1.03B,14.28B,2.12,1.62%,50000,5.30,30.94,27.73,8.95,0.89,4.24,4.73,1.35,3.90%,3.46%,11.40%,14.70%,13.00%,-32.00%,0.30%,-12.12%,85.30%
TDG,26.63B,575.70M,5.31B,-,-,18300,-,48.72,40.75,290.01,-,10.10,12.07,1.98,-5.20%,0.17%,32.60%,-17.80%,12.20%,-104.10%,0.50%,106.17%,-
TRV,28.52B,1.81B,31.41B,3.40,3.00%,30800,1.06,16.17,10.98,4.94,0.26,7.01,10.32,3.11,6.90%,3.28%,-1.50%,7.00%,9.10%,-107.80%,0.29%,0.11%,84.10%
TFC,56.75B,3.66B,14.75B,1.80,4.32%,59000,0.91,14.22,11.92,-,0.64,2.93,3.50,0.94,-4.10%,-9.10%,6.40%,6.10%,6.00%,-38.80%,0.10%,-5.36%,73.80%
TWTR,36.41B,-1231.10M,3.32B,-,-,4900,4.70,-,60.84,-,0.45,-1.57,0.75,0.06,19.60%,-,31.60%,-14.70%,12.80%,-223.00%,0.20%,-10.46%,74.60%
TYL,15.96B,188.60M,1.11B,-,-,5495,8.71,86.28,68.13,8.63,0.00,4.62,5.85,1.33,0.60%,10.00%,17.00%,11.30%,8.80%,61.90%,1.30%,-41.03%,93.80%
TSN,22.03B,1.82B,42.61B,1.68,2.81%,141000,1.45,11.92,10.17,1.35,0.81,5.01,5.87,1.20,0.70%,8.83%,18.60%,12.60%,9.60%,-21.80%,0.10%,-0.98%,84.80%
UDR,9.98B,183.60M,1.23B,1.44,4.36%,1330,2.90,52.82,-,-,1.42,0.63,0.00,0.00,-14.50%,-,86.90%,5.50%,2.70%,57.00%,0.50%,-2.58%,-
ULTA,13.46B,282.00M,6.39B,-,-,18000,7.70,49.50,22.46,45.12,0.45,4.89,10.78,1.41,11.00%,1.10%,25.00%,15.50%,36.80%,-94.80%,0.20%,-11.54%,89.70%
USB,58.96B,4.60B,15.62B,1.68,4.29%,69651,1.28,12.96,12.66,6.40,0.93,3.02,3.09,0.92,0.40%,2.03%,6.20%,13.10%,11.70%,-62.70%,0.09%,0.00%,75.90%
UAA,5.49B,-685.60M,4.51B,-,-,7000,4.15,-,125.00,-,0.87,-1.51,0.10,0.01,-317.60%,-8.11%,-26.50%,-37.70%,6.10%,-947.20%,0.33%,0.00%,81.70%
UA,5.11B,-,4.51B,-,-,7000,3.61,-,75.33,-,-,-1.52,0.15,0.05,-314.70%,21.80%,-,-,-,-,15.29%,0.00%,74.44%
UNP,141.75B,5.56B,20.20B,3.88,1.85%,31965,8.64,26.07,22.36,3.84,1.73,8.05,9.39,2.06,6.00%,6.80%,7.80%,32.40%,15.50%,-24.80%,0.10%,-3.25%,81.60%
UAL,9.97B,-4531.00M,22.83B,-,-,87887,1.42,-,-,-,3.90,-16.45,-3.94,-6.29,51.30%,-,31.60%,-49.70%,12.90%,-258.40%,0.10%,-38.51%,62.60%
UNH,308.45B,16.73B,252.58B,5.00,1.52%,325000,4.92,18.96,17.97,1.49,0.72,17.40,18.36,2.39,17.50%,12.69%,20.20%,23.60%,16.20%,102.40%,0.30%,-10.93%,89.60%
UPS,150.26B,4.38B,77.38B,4.04,2.32%,495000,34.61,34.66,21.55,4.74,6.18,5.03,8.10,1.88,-7.20%,7.31%,9.30%,106.20%,23.10%,4.90%,-,-,70.30%
URI,13.58B,1.11B,9.01B,-,-,19100,3.56,13.01,11.76,-,2.66,14.83,16.41,4.28,14.50%,-2.20%,24.00%,29.70%,11.90%,-14.80%,0.30%,-27.68%,97.67%
UHS,9.58B,734.30M,11.28B,-,-,67700,1.68,13.31,10.77,1.29,0.62,8.48,10.48,1.94,10.80%,10.30%,11.00%,13.40%,10.30%,10.80%,1.10%,0.00%,95.40%
UNM,3.83B,964.70M,11.91B,1.14,6.11%,10300,0.36,3.97,3.52,0.68,0.36,4.70,5.31,1.31,120.40%,5.87%,27.30%,9.70%,9.60%,-2.10%,0.90%,-0.14%,96.80%
VFC,30.29B,160.60M,9.29B,1.92,2.53%,48000,10.12,227.01,28.73,35.94,1.93,0.33,2.64,0.93,-40.90%,6.32%,-13.80%,17.60%,9.00%,-540.00%,0.20%,-1.78%,79.90%
VLO,16.95B,1.06B,87.63B,3.92,9.75%,10222,0.82,15.53,27.34,-,0.64,2.59,1.47,-1.38,-19.40%,-8.01%,-3.50%,5.20%,10.00%,109.80%,0.10%,0.00%,78.00%
VAR,15.68B,260.80M,3.20B,-,-,10062,8.08,60.38,33.37,6.10,0.31,2.85,5.15,1.02,-16.10%,9.90%,-3.30%,14.20%,12.10%,72.10%,0.10%,-49.78%,97.20%
VTR,16.25B,412.60M,3.93B,1.80,4.22%,516,1.51,39.03,279.08,-,1.19,1.09,0.15,0.02,8.90%,-0.50%,-0.60%,3.80%,3.70%,-173.20%,0.10%,-4.03%,93.80%
VRSN,23.96B,788.80M,1.25B,-,-,872,-,30.76,35.42,3.84,-,6.74,5.85,1.26,54.20%,8.00%,23.50%,-54.90%,305.70%,6.80%,1.10%,-9.67%,93.70%
VRSK,31.18B,515.80M,2.70B,1.08,0.56%,9060,14.36,61.83,36.05,6.29,1.44,3.11,5.34,1.20,-24.20%,9.83%,5.20%,24.00%,10.70%,20.20%,0.40%,-32.99%,92.40%
VZ,249.59B,19.15B,129.73B,2.51,4.32%,135300,3.83,12.55,11.78,7.65,1.80,4.62,4.93,1.22,23.80%,1.64%,14.00%,31.50%,13.70%,19.20%,0.03%,-0.92%,67.50%
VRTX,56.07B,2.08B,5.40B,-,-,3000,7.53,27.56,19.11,1.12,0.00,7.91,11.41,2.32,118.10%,24.55%,28.00%,32.90%,14.70%,208.80%,0.10%,-65.77%,96.00%
VIAC,17.25B,2.20B,32.78B,0.96,3.44%,23990,1.24,7.15,6.15,3.50,1.45,3.91,4.55,0.76,-2.90%,2.04%,16.70%,20.20%,13.10%,-50.80%,0.10%,-2.84%,83.00%
V,424.62B,11.33B,22.88B,1.20,0.60%,19500,13.11,38.08,34.46,4.42,0.69,5.26,5.81,1.09,20.00%,8.61%,19.80%,38.30%,26.50%,-21.70%,0.20%,-6.22%,96.40%
VNT,3.74B,311.90M,2.60B,-,-,8300,-,15.26,11.86,4.49,0.01,1.85,2.38,0.71,13.10%,3.40%,-,-,23.30%,-66.10%,24.90%,0.00%,-
VNO,6.53B,323.20M,1.71B,2.12,6.23%,4008,1.16,20.10,73.14,1.16,1.42,1.69,0.47,0.14,706.90%,17.33%,73.00%,5.50%,20.90%,-108.20%,8.44%,0.00%,84.10%
VMC,19.31B,631.60M,4.98B,1.36,0.93%,8767,3.37,30.92,29.37,3.17,0.57,4.74,4.99,1.63,20.60%,9.77%,24.50%,11.10%,8.80%,6.80%,0.10%,0.00%,91.10%
WRB,11.05B,351.40M,7.69B,0.48,0.77%,7493,1.99,33.98,19.84,6.01,0.50,1.83,3.13,0.70,9.60%,5.65%,1.70%,6.00%,9.30%,-66.20%,9.80%,0.00%,73.40%
WAB,12.09B,424.50M,8.04B,0.48,0.76%,27500,1.22,28.58,14.52,3.91,0.45,2.22,4.36,0.90,-36.70%,7.30%,-12.70%,4.30%,3.80%,-15.90%,0.40%,-15.98%,92.10%
WMT,409.56B,17.90B,542.03B,2.16,1.49%,2200000,5.44,23.07,25.81,3.60,0.69,6.27,5.61,1.18,114.90%,6.41%,0.90%,24.70%,12.10%,80.70%,0.90%,-9.83%,30.20%
WBA,32.62B,456.00M,139.54B,1.87,5.00%,223000,1.57,75.73,7.24,-,0.81,0.49,5.16,1.04,-88.00%,-0.15%,-33.60%,2.10%,2.40%,-42.80%,0.10%,0.00%,58.80%
DIS,230.15B,-1325.00M,69.75B,-,-,223000,2.67,-,48.49,-,0.75,-0.74,2.62,-0.71,-13.60%,1.55%,7.90%,-1.20%,8.40%,-429.20%,0.20%,-0.05%,65.30%
WM,48.70B,1.61B,15.10B,2.18,1.88%,44900,7.10,30.68,26.46,-,1.86,3.78,4.38,1.01,-11.70%,-1.26%,7.00%,23.40%,10.40%,-18.70%,0.16%,-4.64%,78.80%
WAT,13.23B,515.30M,2.28B,-,-,7500,-,26.28,22.92,4.96,-,8.03,9.21,1.93,12.70%,5.30%,11.30%,-326.90%,42.30%,-4.90%,0.30%,-29.29%,95.20%
WEC,31.53B,1.17B,7.21B,2.53,2.49%,7509,3.09,27.43,25.36,4.61,1.24,3.70,4.00,0.76,7.10%,5.95%,6.70%,11.50%,6.20%,2.60%,0.17%,-2.93%,74.30%
WFC,94.56B,1.61B,52.92B,0.40,1.75%,266300,0.59,61.45,12.09,4.59,1.46,0.37,1.89,0.59,-6.00%,13.40%,-0.20%,7.60%,10.30%,-150.40%,0.13%,0.00%,67.10%
WELL,22.97B,302.70M,4.98B,2.44,4.50%,443,1.41,73.45,55.16,5.65,0.91,0.74,0.98,0.16,31.40%,13.00%,4.80%,8.30%,3.60%,-83.70%,0.17%,0.00%,91.90%
WST,21.52B,285.70M,1.95B,0.64,0.22%,8200,13.42,77.22,62.46,4.44,0.16,3.78,4.68,0.99,18.20%,17.40%,12.90%,18.60%,13.00%,37.20%,0.60%,-7.58%,95.20%
WDC,11.56B,-250.00M,16.74B,-,-,63800,1.18,-,6.01,-,1.00,-0.85,6.31,0.55,61.40%,-,-16.40%,-2.60%,0.70%,179.20%,0.40%,-0.11%,80.60%
WU,9.11B,609.00M,4.92B,0.90,4.08%,11500,-,15.23,11.11,1.79,-,1.45,1.99,0.46,27.60%,8.51%,9.10%,-862.90%,37.50%,-72.50%,0.10%,-0.70%,-
WRK,10.29B,775.70M,17.76B,0.80,1.95%,51100,0.91,13.67,14.77,-,0.86,3.00,2.77,0.68,26.00%,-1.88%,0.40%,6.60%,5.60%,-29.80%,0.80%,0.02%,84.00%
WY,22.23B,307.00M,6.58B,-,-,9400,2.69,71.85,31.99,14.37,0.77,0.41,0.92,0.45,-110.30%,5.00%,-16.00%,3.70%,3.90%,-43.80%,0.10%,-7.36%,80.50%
WHR,12.58B,901.00M,18.84B,4.80,2.38%,77000,4.17,14.29,12.53,71.44,2.28,14.11,16.08,3.96,765.20%,0.20%,19.00%,27.10%,15.70%,-46.40%,0.10%,0.00%,-
WMB,23.92B,143.00M,7.80B,1.60,8.30%,4812,1.92,164.70,16.67,44.47,1.88,0.12,1.16,0.27,543.10%,3.70%,-24.60%,1.00%,3.90%,-2.30%,0.10%,0.00%,88.40%
WLTW,27.91B,1.05B,9.26B,2.72,1.25%,45000,2.71,26.76,17.73,5.52,0.54,8.10,12.23,1.32,52.50%,4.85%,8.70%,10.00%,6.80%,-6.50%,0.30%,0.00%,93.00%
WYNN,7.84B,-1116.00M,4.34B,-,-,30200,12.24,-,-,-,20.62,-10.46,-1.31,-3.96,-32.20%,5.46%,-30.70%,-80.80%,5.70%,-777.00%,0.60%,-1.32%,71.70%
XEL,37.93B,1.40B,11.21B,1.72,2.35%,11273,2.88,27.38,24.65,4.68,1.64,2.67,2.97,1.08,6.90%,5.85%,5.40%,10.60%,6.20%,18.50%,0.20%,-16.64%,80.30%
XRX,4.29B,385.00M,7.92B,1.00,4.98%,26100,0.78,11.61,9.01,-,0.73,1.73,2.23,0.24,69.70%,-7.00%,-5.60%,-,7.00%,-81.00%,0.40%,472.61%,87.10%
XLNX,28.89B,645.10M,3.04B,1.52,1.29%,4891,12.37,46.19,34.96,6.18,0.86,2.56,3.38,0.74,-8.90%,7.48%,5.80%,25.90%,21.10%,-59.20%,0.20%,-4.32%,88.10%
XYL,16.37B,252.00M,4.95B,1.04,1.14%,16300,5.77,65.79,34.76,-,1.14,1.39,2.63,0.51,-28.00%,-1.92%,3.90%,8.80%,9.00%,-77.60%,0.20%,-21.74%,92.00%
YUM,29.99B,1.03B,5.49B,1.88,1.91%,34000,-,29.59,25.18,4.46,-,3.33,3.91,0.80,-7.80%,6.63%,13.20%,-12.70%,72.70%,-27.10%,0.10%,-14.07%,78.70%
ZBRA,15.32B,494.00M,4.33B,-,-,8200,8.64,32.12,21.31,3.21,0.68,9.12,13.75,2.81,30.90%,10.00%,74.00%,28.00%,20.50%,-18.80%,1.40%,-13.60%,91.40%
ZBH,30.55B,36.70M,7.03B,0.96,0.65%,19900,2.61,895.91,18.69,244.99,0.71,0.16,7.86,1.07,400.40%,3.66%,5.50%,0.30%,6.60%,-254.10%,0.17%,-0.55%,90.50%
ZION,5.11B,447.00M,2.54B,1.36,4.37%,10188,0.73,12.43,9.81,-,0.19,2.51,3.17,0.88,2.20%,-,19.90%,6.50%,23.50%,-65.10%,0.90%,0.48%,91.30%
ZTS,77.44B,1.62B,6.34B,0.80,0.49%,10600,26.08,48.37,39.25,5.22,2.58,3.38,4.17,0.91,9.60%,9.27%,21.80%,58.20%,16.40%,2.50%,0.25%,-5.24%,94.40%
