,Market Cap,Income,Sales,Dividend,Dividend %,Employees,P/B,P/E,Forward P/E,PEG,Debt/Eq,EPS (ttm),EPS next Y,EPS next Q,EPS this Y,EPS next 5Y,EPS past 5Y,ROE,ROI,EPS Q/Q,Insider Own,Insider Trans,Inst Own
MTB,12.96B,1.41B,4.57B,4.40,4.40%,16998,0.87,9.32,10.22,-,0.43,10.74,9.79,2.61,8.00%,-8.72%,13.10%,9.70%,15.60%,-48.00%,0.20%,-1.05%,85.10%
MRO,3.37B,-651.00M,4.04B,0.12,2.95%,2000,0.29,-,-,-,0.00,-0.83,-0.62,-0.27,-54.20%,-4.04%,-16.00%,-5.50%,4.10%,-580.00%,0.33%,0.00%,73.70%
MPC,19.87B,-7687.00M,101.69B,2.32,7.90%,60910,0.80,-,-,-,1.35,-11.90,-0.04,-1.43,-24.80%,-7.01%,-2.00%,-26.70%,7.20%,-99.20%,0.10%,0.00%,75.60%
MKTX,20.52B,262.90M,615.10M,2.40,0.45%,527,23.54,77.94,67.22,4.36,0.00,6.90,8.01,1.74,18.50%,17.87%,22.30%,33.80%,25.80%,73.20%,2.80%,-9.33%,92.20%
MAR,31.48B,463.00M,16.80B,-,-,174000,-,70.64,34.18,-,-,1.38,2.86,-0.06,-28.00%,-7.25%,8.40%,128.40%,12.70%,-204.20%,0.40%,-5.84%,60.60%
MMC,57.93B,2.02B,17.07B,1.86,1.62%,76000,7.07,29.05,22.47,5.95,1.60,3.96,5.12,0.72,5.90%,4.88%,5.60%,26.10%,10.00%,72.60%,0.20%,-0.69%,90.60%
MLM,15.99B,622.70M,4.75B,2.28,0.88%,8846,2.94,26.00,25.43,4.79,0.50,9.96,10.18,3.77,31.20%,5.43%,29.10%,11.60%,9.20%,-5.50%,0.50%,-7.17%,99.30%
MAS,15.03B,614.00M,6.21B,0.56,0.97%,18000,-,25.73,19.35,1.79,-,2.23,2.97,0.77,7.10%,14.35%,-0.80%,-611.60%,33.80%,9.70%,0.40%,-23.69%,93.70%
MA,338.93B,7.29B,16.23B,1.60,0.47%,18600,52.70,47.14,39.14,4.25,0.00,7.20,8.67,1.65,43.30%,11.10%,20.70%,128.90%,55.60%,-29.50%,11.10%,-1.61%,77.40%
MKC,26.56B,760.10M,5.53B,2.48,1.24%,12400,6.76,35.27,34.37,7.35,1.06,5.65,5.80,1.63,10.20%,4.80%,9.40%,20.80%,10.30%,7.80%,0.07%,-56.60%,82.80%
MXIM,19.70B,654.70M,2.19B,1.92,2.63%,7115,11.75,30.32,27.00,5.04,0.00,2.41,2.71,0.58,-21.00%,6.02%,27.50%,38.60%,25.00%,-42.00%,0.20%,-25.92%,92.30%
MCD,170.88B,4.77B,19.26B,5.16,2.25%,205000,-,36.37,27.68,7.42,-,6.31,8.29,1.89,4.00%,4.90%,10.50%,-53.70%,27.40%,-67.20%,0.12%,-0.09%,68.60%
MCK,25.39B,922.00M,231.00B,1.68,1.07%,80000,4.66,28.60,9.23,3.55,1.37,5.48,16.97,3.87,1.70%,8.07%,-8.00%,15.90%,23.10%,20.30%,0.33%,-3.45%,91.30%
MDT,144.53B,4.38B,27.93B,2.32,2.11%,90000,2.94,33.98,19.09,3.61,0.57,3.24,5.77,0.80,2.30%,9.41%,7.70%,8.70%,6.70%,-41.50%,0.10%,-2.87%,83.80%
